Task_ID,Model,Layer,Compute,Self CPU (us),CPU Total (us),CUDA Total (us),Self CPU Mem (bytes),Self CUDA Mem (bytes),Total Execution Time (us),Total Memory Used (bytes)
heavy_1,PretrainedResNet18,resnet18_layer2_1_conv1,GPU-0-CPU-1,183.6849999999995,494.07700000000114,0.0,0,0,494.07700000000114,0
heavy_1,PretrainedResNet18,resnet18_layer2_1_bn1,GPU-0-CPU-1,214.48199999999815,485.4389999999994,0.0,0,0,485.4389999999994,0
heavy_1,PretrainedResNet18,resnet18_layer2_1_relu_1,GPU-0-CPU-1,216.53800000000047,642.822000000011,0.0,0,0,642.822000000011,0
heavy_1,PretrainedResNet18,resnet18_layer2_1_relu,GPU-0-CPU-1,227.98100000000704,426.28400000001056,0.0,0,0,426.28400000001056,0
heavy_1,PretrainedResNet18,resnet18_layer2_1_conv2,GPU-0-CPU-1,192.87800000000152,544.3860000000022,0.0,0,0,544.3860000000022,0
heavy_1,PretrainedResNet18,resnet18_layer2_1_bn2,GPU-0-CPU-1,201.4110000000028,462.0300000000025,0.0,0,0,462.0300000000025,0
heavy_1,PretrainedResNet18,add_3,GPU-0-CPU-1,120.11200000000463,214.03199999999833,0.0,0,0,214.03199999999833,0
heavy_1,PretrainedResNet18,_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1,GPU-0-CPU-1,0.0,0.0,0.0,0,0,0.0,0
heavy_1,PretrainedResNet18,resnet18_layer3_0_conv1,GPU-0-CPU-1,193.6550000000061,550.4359999999979,0.0,0,0,550.4359999999979,0
heavy_1,PretrainedResNet18,resnet18_layer3_0_bn1,GPU-0-CPU-1,229.33599999999933,501.84100000000035,0.0,0,0,501.84100000000035,0
heavy_1,PretrainedResNet18,resnet18_layer3_0_relu_1,GPU-0-CPU-1,227.81200000000536,691.4689999999955,0.0,0,0,691.4689999999955,0
heavy_1,PretrainedResNet18,resnet18_layer3_0_relu,GPU-0-CPU-1,262.2609999999968,463.65699999999015,0.0,0,0,463.65699999999015,0
heavy_1,PretrainedResNet18,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)",GPU-0-CPU-1,0.0,0.0,0.0,0,0,0.0,0
heavy_1,PretrainedResNet18,resnet18_layer3_0_conv2,GPU-0-CPU-1,188.19000000000233,501.8109999999979,0.0,0,0,501.8109999999979,0
heavy_1,PretrainedResNet18,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<float, float>)",GPU-0-CPU-1,0.0,0.0,0.0,0,0,0.0,0
